Sun Jun 10 02:35:46 2018

   AbsTime(Us)      Delta            debugid                       arg1             arg2             arg3             arg4              thread         cpu#  command
        340.8        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        349.2        8.4             BSC_stat64                    ffffffffc452ba80 5fbfd6e8         8                fdf2000           1597ee            2  go
        352.9        3.7(3.7)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        357.6        4.7             BSC_stat64                    ffffffffc452bac0 5fbfd6e8         8                fdf2000           1597ee            2  go
        360.4        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        364.7        4.2             BSC_stat64                    ffffffffc452bb00 5fbfd6e8         8                fdf2000           1597ee            2  go
        367.5        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        371.9        4.4             BSC_stat64                    ffffffffc452bb40 5fbfd6e8         8                fdf2000           1597ee            2  go
        374.8        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        379.4        4.6             BSC_stat64                    ffffffffc452bb80 5fbfd6e8         8                fdf2000           1597ee            2  go
        382.7        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        388.7        6.0             BSC_stat64                    ffffffffc452bbc0 5fbfd6e8         8                fdf2000           1597ee            2  go
        391.8        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        396.6        4.8             BSC_stat64                    ffffffffc452bc10 5fbfd6e8         8                fdf2000           1597ee            2  go
        399.5        2.9(2.9)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        404.2        4.7             BSC_stat64                    ffffffffc452bc50 5fbfd6e8         8                fdf2000           1597ee            2  go
        407.2        3.0(3.0)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        411.8        4.6             BSC_stat64                    ffffffffc452bc98 5fbfd6e8         8                fdf2000           1597ee            2  go
        415.0        3.2(3.2)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        419.6        4.7             BSC_stat64                    ffffffffc452bcd8 5fbfd6e8         8                fdf2000           1597ee            2  go
        422.9        3.3(3.3)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        427.9        4.9             BSC_stat64                    ffffffffc452bd18 5fbfd6e8         8                fdf2000           1597ee            2  go
        430.7        2.8(2.8)        BSC_stat64                    0                0                0                3f42              1597ee            2  go
        435.7        5.0             BSC_stat64                    ffffffffc452bd58 5fbfd6e8         8                fdf2000           1597ee            2  go
